store,store_type,date,hour,persona,passers,enters
零食店-长沙银杉路店,零食店,2026-03-29,3,退休老人,2,0
零食店-长沙银杉路店,零食店,2026-03-29,3,中青年,2,0
零食店-长沙银杉路店,零食店,2026-03-29,3,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-29,3,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-29,4,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-29,4,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-29,4,中青年,0,0
零食店-长沙银杉路店,零食店,2026-03-29,4,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-29,4,学生,3,0
零食店-长沙银杉路店,零食店,2026-03-29,5,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-29,5,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-29,5,中青年,0,0
零食店-长沙银杉路店,零食店,2026-03-29,5,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-29,5,学生,3,0
零食店-长沙银杉路店,零食店,2026-03-29,6,家庭主妇,8,0
零食店-长沙银杉路店,零食店,2026-03-29,6,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-29,6,中青年,21,0
零食店-长沙银杉路店,零食店,2026-03-29,6,上班族,11,0
零食店-长沙银杉路店,零食店,2026-03-29,6,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-29,7,家庭主妇,19,1
零食店-长沙银杉路店,零食店,2026-03-29,7,退休老人,1,0
零食店-长沙银杉路店,零食店,2026-03-29,7,中青年,19,0
零食店-长沙银杉路店,零食店,2026-03-29,7,上班族,129,2
零食店-长沙银杉路店,零食店,2026-03-29,7,学生,0,1
零食店-长沙银杉路店,零食店,2026-03-29,8,家庭主妇,95,5
零食店-长沙银杉路店,零食店,2026-03-29,8,退休老人,0,2
零食店-长沙银杉路店,零食店,2026-03-29,8,中青年,66,4
零食店-长沙银杉路店,零食店,2026-03-29,8,上班族,145,6
零食店-长沙银杉路店,零食店,2026-03-29,8,学生,0,1
零食店-长沙银杉路店,零食店,2026-03-29,9,家庭主妇,81,6
零食店-长沙银杉路店,零食店,2026-03-29,9,退休老人,2,1
零食店-长沙银杉路店,零食店,2026-03-29,9,中青年,83,4
零食店-长沙银杉路店,零食店,2026-03-29,9,上班族,56,4
零食店-长沙银杉路店,零食店,2026-03-29,9,学生,2,7
零食店-长沙银杉路店,零食店,2026-03-29,10,家庭主妇,93,5
零食店-长沙银杉路店,零食店,2026-03-29,10,退休老人,0,1
零食店-长沙银杉路店,零食店,2026-03-29,10,中青年,85,7
零食店-长沙银杉路店,零食店,2026-03-29,10,上班族,66,3
